algorithm,n,S,comparisons,trial_1_cpu,trial_2_cpu,trial_3_cpu,average_cpu_seconds
MergeSort,10000000,,220046172,48.734375,47.78125,49.859375,48.791666666666664
HybridMergeSort,10000000,16,226342626,48.53125,49.09375,48.421875,48.682291666666664
